"taskID","taskUID","mainStatus","fileName","satCode","procLevel","modisProduct","baseIndex","severityIndicator","burntAreaDataset","referenceYear","preFireRef","preFireType","postFireRef","minFireSize","geeTaskID","geeTaskCode","geeTaskStatus","postProcTaskID","postProcTaskStatus","metadataTaskID","metadataTaskStatus","closingTaskID","closingTaskStatus","primaryCRScode","secondaryCRScode","primaryCRS","secondaryCRS"
1,"eb294caf-dd20-4624-8ccd-b16ec70ac43a","COMPLETED","SPT_DELTA_NBR_S2MSI_E2017_R003P003_32629_20230816_v01","S2MSI","L1",NA,"NBR","DELTA","EFFIS",2017,3,"moving",3,10,"f8f15e9a-903a-45ab-a658-bd97df689989","U3JVH4RQX5LOMREGRBOKT35W","GEE COMPLETED","cc55fd81-7a16-411b-baa0-a07e6e976bf0","POST COMPLETED","891317e3-758d-47f8-a83c-133c2c96788e","METADATA COMPLETED","7bc00434-5b7c-4259-bf04-b0df97c25727","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
2,"d691214a-3975-4545-b283-0f80642af221","COMPLETED","SPT_RDT_NBR_S2MSI_E2017_R003P003_32629_20230816_v01","S2MSI","L1",NA,"NBR","RDT","EFFIS",2017,3,"moving",3,10,"29c2203d-514a-47a3-8ab0-f5eadab91049","JZ6AXQ6FUTBZI3XYJHLLDTNZ","GEE COMPLETED","d70e7486-642d-4b4e-8c43-cd38531e19da","POST COMPLETED","23e13dcf-5fbc-460c-9328-971d94e9cd5b","METADATA COMPLETED","34de55c9-2a86-4144-b040-7a5d515b64c6","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
3,"2409ce32-df90-4c4c-bfb4-525ed250d02b","COMPLETED","SPT_RBR_NBR_S2MSI_E2017_R003P003_32629_20230816_v01","S2MSI","L1",NA,"NBR","RBR","EFFIS",2017,3,"moving",3,10,"f960695a-9a96-4ba7-9d32-1b492ef120ad","YBELLF4KQXY5OVS4YFMDJPJ2","GEE COMPLETED","6544deab-8e12-440c-bd9c-5a02c5f2ce67","POST COMPLETED","0fde04f4-57e0-4a75-87ff-20306ac36356","METADATA COMPLETED","4086f960-c61d-4aa0-8701-edc9968b4f27","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
4,"7b1e930d-f762-484c-89c9-dc389787d4dd","COMPLETED","SPT_DELTA_NBR_S2MSI_E2017_R003P006_32629_20230816_v01","S2MSI","L1",NA,"NBR","DELTA","EFFIS",2017,3,"moving",6,10,"725d27f9-5589-44a7-8b23-5e6fcbd0b16b","JVRUXT4JM256UAWXYFME5623","GEE COMPLETED","60343ef1-c641-4c21-9a5f-514d06f23aa9","POST COMPLETED","b326f353-c5ab-424f-a5d7-06fef34f3cc8","METADATA COMPLETED","aa11b1cc-04d7-4b93-8f00-d7dba0ea8927","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
5,"a953dd56-33ed-476e-9055-f94abb95df60","COMPLETED","SPT_RDT_NBR_S2MSI_E2017_R003P006_32629_20230816_v01","S2MSI","L1",NA,"NBR","RDT","EFFIS",2017,3,"moving",6,10,"183dae9d-bc62-4cc7-bb19-43657fc3bf65","NJGTUTAP3BTBCOZ2JTUWUFXA","GEE COMPLETED","eb5f2384-7b52-4360-8fd6-3c24190b4ad0","POST COMPLETED","1ec21398-4f55-4801-965a-f97f116636aa","METADATA COMPLETED","95f48704-a8da-4f16-8ef9-b133b6fa9273","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
6,"6c064ddd-91ec-4be0-8ecd-e4c4a620247a","COMPLETED","SPT_RBR_NBR_S2MSI_E2017_R003P006_32629_20230816_v01","S2MSI","L1",NA,"NBR","RBR","EFFIS",2017,3,"moving",6,10,"61805f0c-0e4e-4449-8df7-47c0bd1f3664","MLM75XCVOOUXXVSCQPS4IP3F","GEE COMPLETED","1e2c91a4-2361-41db-b9c1-a722d436ffbf","POST COMPLETED","9a28fe53-a110-4109-b02c-9ca3476b34ac","METADATA COMPLETED","a9878e98-5db0-45fd-bb65-4777b51e0e79","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
7,"b5264087-16fc-4694-b4d4-147557eaec4f","COMPLETED","SPT_DELTA_NBR_S2MSI_E2017_R003P009_32629_20230816_v01","S2MSI","L1",NA,"NBR","DELTA","EFFIS",2017,3,"moving",9,10,"ea477185-6202-4506-9ec4-eb1f499e5fb7","PC5XJKZJGZICAPTUGKQBF3PW","GEE COMPLETED","bf8a9e28-a58e-4aae-97df-45dcdb715696","POST COMPLETED","e737b976-1dae-45e3-b9c1-edb40cb1eea2","METADATA COMPLETED","455e355d-3aec-4acb-8a1b-2e12063b963c","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
8,"46465c65-c140-4173-b294-15d093846076","COMPLETED","SPT_RDT_NBR_S2MSI_E2017_R003P009_32629_20230816_v01","S2MSI","L1",NA,"NBR","RDT","EFFIS",2017,3,"moving",9,10,"bcfe7270-78fa-40b0-90f6-655392bf4a11","RTI4C5F6Z7HBF2VP67BTBWFN","GEE COMPLETED","36c62e39-2a0b-40b8-a4a5-1158ca78c1e9","POST COMPLETED","c38a8ac6-565e-4091-aa17-1aede1b16781","METADATA COMPLETED","8f128b7d-4db3-4f6e-bbc1-fa942f22a905","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
9,"a9a34ba5-daf8-403d-85cc-c82daac45375","COMPLETED","SPT_RBR_NBR_S2MSI_E2017_R003P009_32629_20230816_v01","S2MSI","L1",NA,"NBR","RBR","EFFIS",2017,3,"moving",9,10,"48eb5ed9-2028-4d51-b467-e377a829fb16","VZWFAWIVG2RM4JURFJHBZ56Z","GEE COMPLETED","dc83836d-2644-46ef-b694-a130e0c12c63","POST COMPLETED","e237ae52-0323-432c-b177-2b4cf50e5070","METADATA COMPLETED","cb8df6e9-5d5f-48a6-afb5-a3cbef55aeda","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
10,"817f9826-7f33-4845-beae-2ad37f81c6f3","COMPLETED","SPT_DELTA_NBR_S2MSI_E2017_R003P012_32629_20230816_v01","S2MSI","L1",NA,"NBR","DELTA","EFFIS",2017,3,"moving",12,10,"c4a34c31-cc42-45e1-ae66-1b7ed43076c2","GIUXN4ARSTJEH5QMB5BPJEI7","GEE COMPLETED","2552a60f-61ba-417f-a72a-c8e196ffb5b6","POST COMPLETED","387fbd39-e61f-4c5a-b675-130a20aefecd","METADATA COMPLETED","7361ce0c-2de0-4562-ab8f-bb2c621f8fe2","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
11,"ae01de7c-bd97-498f-a878-c568d9f3bae7","COMPLETED","SPT_RDT_NBR_S2MSI_E2017_R003P012_32629_20230816_v01","S2MSI","L1",NA,"NBR","RDT","EFFIS",2017,3,"moving",12,10,"8bf709d9-89b0-4d3f-8c77-841e96093f0f","FZE3A2C6LLKNEI6RQNA7DLLA","GEE COMPLETED","8b4f796d-9751-4a74-b715-cb06adfb30c7","POST COMPLETED","c3c1f807-f673-42bf-af25-9f7dcb6dfe18","METADATA COMPLETED","d7e694d9-7ff0-4136-a2ee-7a7f73ffa21e","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
12,"2b518e51-4ed6-476f-b5d4-fe6bd6719326","COMPLETED","SPT_RBR_NBR_S2MSI_E2017_R003P012_32629_20230816_v01","S2MSI","L1",NA,"NBR","RBR","EFFIS",2017,3,"moving",12,10,"dfd0be5c-9d8f-49c8-b4c2-a2a723dd4cc4","MIRKWP6FCOZOJSV553FV6DUS","GEE COMPLETED","32947ce7-238d-44a6-8398-222f802898e4","POST COMPLETED","a2c0f847-4115-48f0-93b2-09b4e9205343","METADATA COMPLETED","b3392284-a22c-4cff-b2f0-4d871f043bbc","CLOSING COMPLETED",3763,32629,"ETRS1989/PTTM06 (EPSG: 3763)","WGS 1984/UTM 29N (EPSG: 32629)"
